Name,Address,Score,Reviews,Budget
居食房しぶいち,東京都江戸川区瑞江4-41-7,3.00,2,"￥3,000～￥3,999"
洋風酒場 アネモネ,東京都江戸川区東葛西5-4-11,3.07,11,"￥3,000～￥3,999"
イタリアン＆ワインバー CONA 小岩店,東京都江戸川区南小岩7-27-7,3.05,19,"￥2,000～￥2,999"
バルケッタ 葛西店,東京都江戸川区東葛西8-28-11,3.05,10,"￥3,000～￥3,999"
CONA 西葛西店,東京都江戸川区西葛西3-15-10,3.08,20,"￥2,000～￥2,999"
ピザポケット 瑞江店,東京都江戸川区瑞江3-35-1,-,1,-
サンマリノ,東京都江戸川区西葛西6-14-2,3.00,3,-
ピザハット 一之江店,東京都江戸川区江戸川3-18-7,-,1,"￥1,000～￥1,999"
ポポラマーマ イトーヨーカドー葛西店,東京都江戸川区東葛西9-3-3,3.03,9, ～￥999
ポポラマーマ 平井店,東京都江戸川区平井3-30-1,3.03,12, ～￥999
ベネディーレ,東京都江戸川区南小岩8‐11‐8,3.03,8,-
ピザ・ウィリー 小岩店,東京都江戸川区東小岩5-26-13,3.03,1,-
金魚,東京都江戸川区西小岩1-27-24,-,3,"￥2,000～￥2,999"
ドミノ・ピザ 江戸川松島店,東京都江戸川区松島1-43-12,3.00,3,"￥1,000～￥1,999"
マリノステリア,東京都江戸川区東葛西6-4-16,3.05,17,"￥3,000～￥3,999"
ジョリーパスタ 小松川店,東京都江戸川区東小松川1-6-4,3.02,8,"￥1,000～￥1,999"
ドミノ・ピザ 江戸川中葛西店,東京都江戸川区中葛西3-29-6,3.00,3,"￥1,000～￥1,999"
ケンズキッチン,東京都江戸川区南小岩7-22-12,3.07,9,-
ポポラマーマ 小岩店,東京都江戸川区西小岩1-23-17,3.04,7, ～￥999
リム 小岩店,東京都江戸川区南小岩7-26-10,3.02,2,-
ボローニア,東京都江戸川区南小岩8-13-10,3.16,26,"￥3,000～￥3,999"
ドミノピザ 西葛西店,東京都江戸川区西葛西6-22-4,3.00,2,-
小麦の郷 ライフ篠崎店,東京都江戸川区篠崎7-27-1,3.02,5,-
チェスティーノ・ダ・プランツォ,東京都江戸川区船堀2-13-3,-,1,-
ポポラマーマ 瑞江店,東京都江戸川区瑞江2-5-21,3.01,11, ～￥999
ピッツキューブ,東京都江戸川区西小岩4-1-19,3.08,24,"￥1,000～￥1,999"
ピッツァオーラ,東京都江戸川区西小岩1-19-34,3.05,10,-
雪の窯珈琲,東京都江戸川区船堀4-12-8,3.15,11,"￥2,000～￥2,999"
Mura Bar 葛西店,東京都江戸川区中葛西5-43-1,3.18,8,"￥2,000～￥2,999"
ポップコーン,東京都江戸川区東葛西6-2-1,-, - ,-
ピザポケット 葛西店,東京都江戸川区中葛西5-30-12,3.00,2,"￥1,000～￥1,999"
イタリアンレストラン シシリア,東京都江戸川区西葛西6-12-7,3.08,22,-
ピザポケット 小岩店,東京都江戸川区南小岩8-2-18,-,1,"￥2,000～￥2,999"
カプリチョーザ 西葛西店,東京都江戸川区西葛西6-17-17,3.07,23,"￥2,000～￥2,999"
ポポラマーマ 西葛西店,東京都江戸川区西葛西6-18-3,3.02,6,"￥1,000～￥1,999"
ピザーラ 小松川店,東京都江戸川区中央1-2-2,-, - ,-
ピザーラ　 葛西店,東京都江戸川区中葛西5-20-10,3.00,2,-
